value,method
22.08333333,NestedAE
27.5,NestedAE
26.25,NestedAE
24.58333333,NestedAE
22.5,NestedAE
23.33333333,NestedAE
26.25,NestedAE
30,NestedAE
25.83333333,NestedAE
22.5,NestedAE
29.58333333,NestedAE
28.33333333,NestedAE
23.75,NestedAE
22.91666667,NestedAE
22.08333333,NestedAE
28.33333333,NestedAE
27.91666667,NestedAE
21.66666667,NestedAE
27.5,NestedAE
23.75,NestedAE
22.08333333,NestedAE
25.41666667,NestedAE
26.66666667,NestedAE
23.75,NestedAE
30.83333333,NestedAE
22.91666667,NestedAE
27.5,NestedAE
25.41666667,NestedAE
23.33333333,NestedAE
21.25,NestedAE
22.08333333,NestedAE
28.33333333,NestedAE
26.25,NestedAE
26.66666667,NestedAE
23.33333333,NestedAE
24.16666667,NestedAE
23.33333333,NestedAE
28.33333333,NestedAE
27.5,NestedAE
23.75,NestedAE
29.16666667,NestedAE
24.16666667,NestedAE
25,NestedAE
23.33333333,NestedAE
24.16666667,NestedAE
30.83333333,NestedAE
25,NestedAE
22.5,NestedAE
22.5,NestedAE
29.58333333,NestedAE
20.83333333,NestedAE
24.58333333,NestedAE
23.75,NestedAE
24.58333333,NestedAE
23.75,NestedAE
27.5,NestedAE
20,NestedAE
23.33333333,NestedAE
21.66666667,NestedAE
22.08333333,NestedAE
27.5,NestedAE
23.75,NestedAE
22.91666667,NestedAE
28.75,NestedAE
22.08333333,NestedAE
22.5,NestedAE
25.83333333,NestedAE
22.5,NestedAE
24.58333333,NestedAE
24.16666667,NestedAE
24.58333333,NestedAE
22.5,NestedAE
25,NestedAE
25.41666667,NestedAE
23.33333333,NestedAE
23.33333333,NestedAE
22.5,NestedAE
23.75,NestedAE
27.5,NestedAE
24.16666667,NestedAE
22.91666667,NestedAE
25,NestedAE
25.83333333,NestedAE
26.25,NestedAE
21.25,NestedAE
24.58333333,NestedAE
23.33333333,NestedAE
28.33333333,NestedAE
33.33333333,NestedAE
20.83333333,NestedAE
23.33333333,NestedAE
22.5,NestedAE
27.08333333,NestedAE
24.16666667,NestedAE
23.33333333,NestedAE
26.66666667,NestedAE
23.75,NestedAE
23.33333333,NestedAE
21.25,NestedAE
22.91666667,NestedAE
27.5,NestedAE
22.08333333,NestedAE
25.41666667,NestedAE
21.66666667,NestedAE
25.83333333,NestedAE
25.41666667,NestedAE
22.91666667,NestedAE
28.75,NestedAE
23.33333333,NestedAE
26.66666667,NestedAE
23.75,NestedAE
23.75,NestedAE
25.83333333,NestedAE
25,NestedAE
25,NestedAE
26.66666667,NestedAE
23.33333333,NestedAE
22.08333333,NestedAE
21.66666667,NestedAE
25.41666667,NestedAE
22.91666667,NestedAE
27.91666667,NestedAE
23.75,NestedAE
23.33333333,NestedAE
24.58333333,NestedAE
21.25,NestedAE
22.5,NestedAE
25,NestedAE
26.66666667,NestedAE
24.58333333,NestedAE
28.75,NestedAE
23.33333333,NestedAE
25.41666667,NestedAE
28.33333333,NestedAE
29.58333333,NestedAE
23.75,NestedAE
24.58333333,NestedAE
21.25,NestedAE
21.66666667,NestedAE
25.41666667,NestedAE
22.08333333,NestedAE
29.58333333,NestedAE
23.75,NestedAE
21.25,NestedAE
23.75,NestedAE
23.75,NestedAE
22.08333333,NestedAE
24.16666667,NestedAE
23.33333333,NestedAE
22.5,NestedAE
22.5,NestedAE
21.66666667,NestedAE
20,NestedAE
25.41666667,NestedAE
24.16666667,NestedAE
23.33333333,NestedAE
29.16666667,NestedAE
23.33333333,NestedAE
24.58333333,NestedAE
23.75,NestedAE
23.33333333,NestedAE
30,NestedAE
23.33333333,NestedAE
26.66666667,NestedAE
19.58333333,NestedAE
21.25,NestedAE
26.25,NestedAE
22.08333333,NestedAE
28.75,NestedAE
23.33333333,NestedAE
27.5,NestedAE
24.58333333,NestedAE
28.75,NestedAE
24.16666667,NestedAE
24.16666667,NestedAE
27.5,NestedAE
25,NestedAE
26.25,NestedAE
28.75,NestedAE
28.33333333,NestedAE
23.75,NestedAE
24.58333333,NestedAE
27.91666667,NestedAE
23.75,NestedAE
23.33333333,NestedAE
25.41666667,NestedAE
22.08333333,NestedAE
23.75,NestedAE
30.41666667,NestedAE
23.33333333,NestedAE
28.33333333,NestedAE
23.33333333,NestedAE
22.5,NestedAE
18.75,NestedAE
22.08333333,NestedAE
23.33333333,NestedAE
19.16666667,NestedAE
25.83333333,NestedAE
29.16666667,NestedAE
23.33333333,NestedAE