UMAP1,UMAP2,True Binding Energy
8.208233,14.606667,41.31
10.831249,2.9310305,41.2
7.474713,14.514178,41.03
11.36355,3.0773935,40.97
10.829817,2.720417,40.66
7.3482027,14.506372,40.59
7.722679,14.744829,40.36
11.3482,3.112763,40.27
11.172963,2.977022,39.86
7.5747237,14.257994,39.52
10.2098675,2.7028677,39.25
10.964376,2.8874218,39.24
8.390022,14.483831,38.38
10.10931,2.9948897,38.32
9.806457,2.800185,38.29
10.545917,2.8766408,38.2
7.578175,14.719486,38.1
11.080192,2.8241925,37.88
8.280583,13.762372,37.85
8.265801,14.472286,37.83
7.969083,14.17426,37.79
10.402217,2.9008956,37.77
9.80524,2.9553306,37.68
9.610265,3.0448728,37.61
10.810215,2.7099533,37.58
7.9969773,13.483702,37.49
8.9486065,12.847163,37.49
9.028809,13.143195,37.34
8.47079,12.88716,37.2
7.783588,14.404868,37.15
7.817685,14.042614,37.14
9.541428,3.141353,37.08
10.458279,2.750084,37.0
8.999354,13.523677,36.95
10.438722,2.725701,36.87
10.117503,2.8818483,36.83
8.431207,14.375579,36.74
7.987222,14.671893,36.73
8.615519,13.082138,36.45
7.7472615,13.943234,36.41
10.121806,2.709204,36.41
8.26543,13.158807,36.37
8.048061,14.068597,36.32
8.77109,14.110046,36.1
8.05134,13.533851,36.03
8.571688,13.459785,36.0
8.651607,12.704361,35.99
8.311115,13.738624,35.97
8.360597,13.293259,35.64
8.436304,14.492106,35.6
8.474375,13.388454,35.3
8.50741,12.528431,34.31
8.929394,13.549516,34.29
8.840148,14.04349,33.83
8.76493,14.157195,33.76
9.120499,13.702517,33.72
9.12251,13.158762,32.75
9.052215,12.843271,32.19
8.959306,13.886989,31.76
9.020963,13.608142,29.99
6.179689,14.318428,22.95
5.864136,13.86472,22.26
11.488289,3.4664242,22.17
6.018463,13.469409,22.12
6.0376754,13.932595,21.92
6.675412,13.897772,21.92
6.570846,14.249804,21.91
11.443665,3.512894,21.57
10.252977,3.7125227,21.5
10.922587,3.5660558,21.46
11.154985,3.665697,21.43
6.8684726,14.01607,21.23
11.2457485,3.710738,21.2
6.7415133,13.590591,20.98
10.824086,3.7487066,20.85
6.8911614,12.913529,20.85
10.388306,3.9038177,20.81
6.2266407,14.294052,20.71
7.060027,13.669123,20.69
10.393678,3.9002407,20.6
10.3341875,3.6477075,20.54
6.812307,13.460659,20.49
9.759554,3.5129318,20.48
7.3543806,13.167315,20.47
7.089932,13.559935,20.46
10.932474,3.763088,20.44
9.978279,3.9184117,20.34
7.18131,12.469318,20.26
5.7798395,13.318374,20.08
9.407866,3.7041671,20.03
7.1711082,12.455709,19.99
9.968977,3.6300037,19.96
6.7053986,14.334687,19.96
10.789741,3.8675961,19.93
5.97041,13.297814,19.91
7.569961,12.619115,19.73
9.984703,3.6263025,19.67
9.447859,3.5174966,19.61
7.2422423,12.18039,19.56
6.049366,12.280074,19.54
5.752462,13.447403,19.46
7.3239183,13.067538,19.14
9.742842,3.8775232,19.07
6.937381,11.650095,19.06
6.9965525,12.926316,18.8
6.1033564,12.768891,18.74
7.3590484,12.067081,18.57
7.634389,12.691486,18.42
5.9831095,12.694104,18.39
9.347871,3.5907714,18.34
5.8858795,12.787237,18.29
6.0250864,12.190773,18.17
7.72225,11.980353,17.68
6.2736278,12.259544,17.59
6.0792255,12.677717,17.13
7.6847343,12.165051,16.99
6.4226737,11.810782,16.84
-1.230526,2.949233,16.57
6.4955535,11.954717,16.28
6.276736,12.352579,15.96
-1.5094328,2.762369,15.87
-1.2671279,1.8003445,15.83
-1.0100801,1.0895532,15.63
-1.0047628,1.1328492,15.56
-1.8489753,3.2272313,15.52
-1.397826,3.4779313,15.3
-1.1106508,1.4081469,15.25
-1.9325687,3.6076791,15.14
-1.2003322,1.5839088,15.12
-1.114996,1.4430046,15.08
-1.3157884,2.7474406,14.99
-1.6383469,2.9271185,14.97
-0.70339,0.80551946,14.89
6.8347373,11.844273,14.87
-1.2905798,2.6712005,14.85
-1.7838782,3.121823,14.79
-0.6118947,0.70608425,14.77
-1.9156443,3.5805578,14.65
5.762,13.355819,14.56
-2.0050464,4.0775576,14.45
-1.5470998,4.1441793,14.45
-0.73363495,0.93119836,14.37
-1.2665247,3.0633109,14.2
-2.0486205,4.077919,14.17
-1.3152843,1.7812496,14.16
-2.1604023,3.7697399,14.01
-1.2701432,3.2177525,13.97
-0.4475162,0.64049274,13.96
-1.2230601,1.5624595,13.91
-1.537745,2.798506,13.9
-1.0895753,0.975462,13.78
-1.7391648,2.9988241,13.66
-2.0149002,3.5698557,13.61
7.460856,12.534639,13.58
11.300895,3.900819,13.49
-1.9918085,4.5938983,13.49
-1.3802868,3.8325953,13.45
5.7378488,13.491198,13.43
11.3846445,3.6646082,13.42
-1.3757291,3.774202,13.4
-1.867345,3.1868546,13.36
7.193925,13.005152,13.26
-1.174962,1.3476442,13.24
-1.2132035,3.356717,13.19
-1.3369626,3.7653418,13.14
6.612358,14.327554,13.11
-1.2255534,3.3436725,13.08
9.846134,4.004872,13.06
-1.5020581,4.134559,13.05
10.262848,4.014588,13.01
-2.1523783,4.300248,13.0
6.8067183,13.890333,13.0
-1.102678,1.032165,12.86
-1.7820455,4.604921,12.73
-2.1345654,4.321089,12.71
6.121351,14.240933,12.68
-2.2143989,4.0213466,12.63
5.940279,12.257618,12.52
-0.8603408,0.8493814,12.43
5.8112154,13.864702,12.3
-1.4881232,3.8457167,12.26
7.2110753,13.073933,12.26
10.734846,3.957461,12.25
7.580323,12.122085,12.22
-1.4509869,4.17268,12.18
-1.9532065,4.480575,12.17
-1.4618945,4.176264,12.13
5.764439,12.743038,12.12
10.902686,3.9831548,12.11
9.555397,3.8948584,12.02
5.7951593,12.64507,11.96
6.979867,13.434627,11.92
6.982229,13.50452,11.86
6.2837725,11.836472,11.86
10.279791,4.1062846,11.81
9.872401,4.0914083,11.78
7.4519596,12.586595,11.75
6.0050974,12.125243,11.21
-1.551725,4.4485984,11.2
9.377053,3.7734518,10.92
-1.7127519,4.5542436,10.87
6.7584796,11.644033,10.59
7.5769706,11.890619,10.56
9.192244,7.7222214,10.53
9.362019,7.5836997,10.01
9.434788,7.7394753,9.81
10.464762,5.3010445,9.58
9.536183,7.711298,9.4
8.716084,7.975935,9.39
10.1691,5.21858,9.38
9.029765,7.9989467,9.38
10.251876,5.2955294,9.33
9.34193,7.8568187,9.27
9.239357,7.861016,9.09
8.91804,7.8258333,9.07
9.268793,7.684679,9.04
9.630324,4.9681644,9.01
-0.79797995,0.75360984,8.78
8.866662,7.7737083,8.72
9.963452,5.0819073,8.64
9.519301,7.4619274,8.63
10.157563,5.1996937,8.58
-2.2444358,3.9960296,8.42
-0.7128402,0.7152216,8.39
-1.1058016,1.2543505,8.18
-1.8197132,3.1865141,8.07
8.666251,7.6441197,7.69
9.7542305,5.00184,7.63
9.866162,5.04976,7.62
8.453975,7.6705766,7.51
8.713916,8.064376,7.49
8.619294,7.6389527,7.46
9.466537,4.8689194,7.46
-1.5642614,4.4359694,7.18
8.519659,7.6861105,7.01
8.258634,7.799813,7.0
8.46597,7.958008,6.85
8.869448,7.9973445,6.8
9.8115225,5.049342,5.72
-0.45145833,0.6406886,5.41
